time,runtime
0.0000058,3.9930e-03
0.0186921,8.1942e-04
0.0249071,1.1111e-03
0.0399260,5.5262e-04
0.0490136,5.7095e-04
0.0547624,1.2031e-03
0.0641113,8.2761e-04
0.0729524,1.6103e-03
0.0808438,2.2635e-03
0.0888792,8.4728e-04
0.0971359,1.3344e-03
0.1198235,5.3019e-04
0.1283038,8.4977e-04
0.1353807,5.0759e-03
0.1465054,6.7886e-04
0.1532710,7.4849e-04
0.1582801,5.4410e-04
0.1640472,2.1125e-03
0.1731885,2.1031e-03
0.1826447,1.2579e-03
0.1883176,5.8354e-04
0.1930616,1.1636e-03
0.1979447,7.6986e-04
0.2044129,5.1096e-03
0.2134661,2.0899e-03
0.2201378,4.4837e-04
0.2255916,2.7413e-03
0.2332046,1.7262e-03
0.2396933,8.8565e-04
0.2504995,6.0509e-04
0.2557935,7.3079e-04
0.2620203,2.2229e-03
0.2689779,4.6497e-04
0.2743487,5.2564e-04
0.2822272,8.0194e-04
0.3083995,8.6694e-04
0.3143306,5.7240e-04
0.3212969,5.9181e-04
0.3289410,6.2505e-04
0.3349116,6.0217e-04
0.3396321,1.4179e-03
0.3480961,7.4371e-04
0.3533548,6.1010e-04
0.3584502,5.6295e-04
0.3832960,7.2336e-04
0.3918915,5.2878e-04
0.3974557,7.2721e-04
0.4025288,5.2753e-04
0.4102998,5.8294e-04
0.4151390,5.5881e-04
0.4201306,5.1177e-04
0.4254192,5.8057e-04
0.4311014,1.0528e-03
0.4375499,2.3451e-03
0.4465681,3.1449e-03
0.4544106,5.5866e-04
0.4593478,8.9175e-04
0.4660473,4.9493e-04
0.4726556,4.2448e-03
0.4832312,8.8271e-04
0.4888235,5.6465e-04
0.4954469,7.8756e-04
0.5070996,4.6525e-04
0.5124709,9.8129e-04
0.5173501,9.5524e-04
0.5258486,6.9339e-04
0.5385963,6.3214e-04
0.5443187,1.8584e-03
0.5575547,6.6733e-04
0.5914351,3.7158e-03
0.5985123,7.0591e-04
0.6066335,4.7869e-04
0.6189947,6.6324e-04
0.6285924,5.1616e-04
0.6353490,1.7645e-03
0.6575547,2.1061e-03
0.6641363,2.1874e-03
0.6685162,7.4154e-04
0.6803840,5.5759e-04
0.6856198,1.7866e-03
0.6927104,6.4256e-04
0.6989908,5.7492e-04
0.7055287,8.7570e-04
0.7115288,4.9515e-04
0.7164416,3.0532e-03
0.9820748,8.2189e-04
1.0092632,7.4225e-04
1.0178356,3.4355e-03
1.0302992,1.9086e-03
1.0489095,5.3080e-04
1.0531375,5.1598e-04
1.0583090,5.9287e-04
1.0710537,5.9986e-04
1.0794469,6.4883e-04
1.0839046,5.7543e-04
1.0883651,1.2397e-03
1.0949692,1.6144e-03
1.1004413,4.9949e-04
1.1122441,5.8651e-04
1.1221046,1.1144e-03
1.1278145,1.8088e-03
1.1411537,7.4756e-04
1.1449053,6.1203e-04
1.1507590,5.9112e-04
1.1532688,6.1697e-04
1.1561191,5.9827e-04
1.1627846,4.3463e-03
1.1809111,8.1054e-04
1.1839472,6.1870e-03
1.1971270,2.1010e-03
1.2014241,2.1863e-03
1.2071511,6.4488e-04
1.2102705,2.4175e-02
1.2399344,5.6525e-04
1.2500476,5.4356e-04
1.2537020,6.5714e-04
1.2602731,7.6161e-03
1.2695903,1.1649e-03
1.2752035,6.4137e-04
1.2828403,6.0466e-04
1.3039685,6.0474e-04
1.3089763,7.1074e-03
1.3183466,9.1621e-04
1.3221411,6.3267e-04
1.3318241,6.2711e-04
1.3346879,9.2169e-04
1.3389890,3.7858e-03
1.3488971,7.4459e-04
1.3589784,8.6493e-04
1.3706158,2.7644e-03
1.3756413,4.4278e-03
1.3874618,7.1441e-04
1.3974532,8.2832e-04
1.4013927,6.1565e-04
1.4140584,1.4631e-03
1.4250484,7.8522e-04
1.4311955,1.8515e-03
1.4425738,1.7633e-03
1.4490730,1.6182e-03
1.4576211,5.5621e-04
1.4602422,8.7055e-04
1.4642149,5.6291e-04
1.4702551,7.2142e-04
1.4787877,2.2044e-03
1.4827483,6.8113e-04
1.4877882,6.9238e-04
1.4924217,7.3382e-03
1.5032732,4.8212e-03
1.5113738,2.3741e-03
1.5223523,6.1706e-04
1.5266885,5.7682e-04
1.5292649,6.2131e-04
1.5377792,5.6225e-04
1.5438222,4.7626e-04
1.5468367,6.3239e-04
1.5543804,8.2080e-03
1.5681716,7.0812e-04
1.5714153,6.8008e-04
1.5749180,6.9734e-04
1.5770346,1.8999e-03
1.5831223,5.6487e-04
1.5877465,8.4757e-04
1.5968615,3.8314e-03
1.6080065,4.1605e-03
1.6148291,5.4093e-04
1.6184741,5.5443e-04
1.6218157,5.1083e-04
1.6240177,6.5565e-04
1.6297815,6.9820e-04
1.6342294,2.8065e-03
1.6386857,1.0437e-03
1.6445364,5.4480e-04
1.6490650,5.0162e-04
1.6531301,5.4076e-04
1.6586277,6.2157e-04
1.6642467,1.0169e-03
1.6696253,1.1604e-03
1.6757503,2.1538e-03
1.6876055,1.9855e-03
1.6941935,5.4943e-04
1.6993736,1.2029e-03
1.7047004,6.0537e-04
1.7100508,7.3778e-04
1.7153869,4.9991e-04
1.7198846,2.1085e-03
1.7257028,2.9289e-03
1.7334039,5.4633e-04
1.7385222,4.6699e-04
1.7430062,5.7605e-04
1.7495342,6.6736e-04
1.7545086,6.0224e-04
1.7589967,5.2749e-04
1.7670891,7.6087e-04
1.7957535,5.6515e-04
1.7994010,4.9087e-04
1.8049295,5.6355e-04
1.8354461,6.8161e-04
1.8386875,5.0505e-04
1.8451506,6.3540e-04
1.8483754,5.1036e-04
1.8512521,5.8242e-04
1.8533809,5.3577e-04
1.8557711,5.3673e-04
1.8913175,5.7799e-04
1.8978705,1.8907e-03
1.9012967,5.0016e-04
1.9033122,5.6835e-04
1.9060537,5.1247e-04
1.9123720,4.8028e-04
1.9181927,4.9866e-04
1.9210596,6.9847e-04
1.9260052,1.5639e-03
1.9296141,5.8016e-04
1.9322366,5.0624e-04
1.9381174,5.0195e-04
1.9406060,1.1316e-03
1.9468927,6.4813e-04
1.9492202,7.7596e-04
1.9532304,7.3711e-04
1.9583668,4.6942e-04
1.9700181,5.1747e-04
