time,runtime
0.0000051,1.8978e-03
0.0183455,2.0990e-02
0.0427047,1.0205e-03
0.0706607,6.9443e-03
0.0813547,1.1183e-03
0.1211516,6.7519e-02
0.1933923,9.1629e-03
0.2050149,1.8748e-03
0.2631976,2.0765e-02
0.3096452,1.1832e-03
0.3618679,2.0291e-03
0.3672956,1.6505e-03
0.4407332,1.2362e-03
0.4926675,9.4352e-03
0.5151374,8.4150e-03
0.5272438,1.6078e-03
0.5443861,1.1232e-02
0.5583432,3.2666e-02
0.6733240,9.5928e-03
0.7359270,2.3255e-03
0.7871085,3.2646e-02
0.8323403,3.5860e-02
0.8926650,5.7020e-03
0.9167438,1.1915e-02
0.9510790,1.1724e-03
0.9553182,1.2681e-02
0.9707427,7.5686e-03
0.9815395,3.1698e-02
1.0293434,1.7169e-03
1.0421969,1.5415e-02
1.3013819,9.0348e-03
1.3272290,8.9691e-03
1.3626913,1.2402e-03
1.3913884,9.4634e-04
1.4301237,8.9829e-03
1.4678082,3.7952e-02
1.5269363,2.9286e-02
1.6348393,2.0184e-02
1.6607533,3.9732e-02
1.7046800,1.2511e-03
1.7414663,1.2297e-03
1.7455075,1.2698e-03
1.7503822,1.8236e-03
1.7560720,1.5420e-03
1.7607123,1.5471e-03
1.7899982,1.6810e-03
1.7968190,1.4781e-03
1.8011667,1.1624e-03
1.8046045,2.0716e-03
1.8092154,2.6009e-02
1.8379146,3.5073e-02
1.9986663,1.4699e-03
2.0319290,1.3675e-03
2.0707445,1.4439e-03
2.0762823,1.0622e-03
2.1197238,5.6265e-03
2.1435444,2.8851e-02
2.1950338,2.0111e-03
2.2003703,1.4110e-03
2.2067683,1.1016e-02
2.2665889,7.7864e-04
2.2777655,2.4787e-02
2.3482792,1.3822e-03
2.3520887,1.6196e-02
2.3855810,1.3469e-02
2.4554491,5.9054e-02
2.5541751,1.1033e-02
2.6102452,3.0971e-02
2.6546257,1.4424e-02
2.7015290,9.9686e-02
2.8036423,2.1376e-03
2.8080809,1.3734e-03
2.8135433,9.2993e-04
2.8516793,1.4510e-03
2.8653657,2.0491e-03
2.8701272,1.4844e-03
2.8756089,1.3898e-03
2.8970666,1.5145e-03
2.9082434,1.5657e-03
2.9252303,2.5758e-02
2.9904127,5.2144e-02
3.0511532,1.7187e-03
3.0554774,4.1293e-02
3.1096926,1.5699e-03
3.1686389,4.4666e-02
3.2162006,1.3124e-03
3.2200327,1.6317e-02
3.2582057,1.1813e-03
3.2635574,5.4797e-02
3.3242023,1.9383e-03
3.3818884,3.1156e-03
3.4208651,1.7956e-02
3.5661242,6.1808e-03
3.5779755,1.0647e-03
3.8620729,5.5403e-01
4.5527482,7.1276e-03
4.7482300,1.2653e-03
4.8221493,1.8027e-02
4.9548831,1.6203e-03
4.9599719,2.1434e-03
4.9655299,7.5375e-02
5.1104245,1.9199e-03
5.1164827,2.0952e-02
5.1410351,2.4245e-03
5.1508064,1.3668e-01
5.4133177,7.7034e-03
5.4529629,1.4457e-02
5.4739618,2.2322e-02
5.5791945,7.0791e-03
5.6335049,1.1599e-02
5.6680446,2.1284e-03
5.8186235,7.3882e-02
5.9067221,5.9796e-02
6.0079637,5.4763e-02
6.1005788,1.5174e-01
6.3438339,1.9908e-03
6.4872570,1.8599e-03
6.4929729,1.8118e-02
6.5141969,1.6874e-03
6.5198674,2.0913e-03
6.5256639,1.6956e-03
6.6033545,1.7162e-02
6.6312103,2.9046e-03
6.6595840,3.1104e-03
6.6666422,1.6414e-03
6.6925831,2.6482e-03
6.6990104,2.3584e-03
6.7288160,2.4629e-03
6.7392187,2.1564e-03
6.7728691,3.0718e-03
6.8085756,1.7476e-03
6.8289051,7.7513e-02
6.9351025,1.4206e-03
6.9396806,1.7729e-03
6.9678850,1.7838e-03
6.9728384,1.2257e-03
7.0785365,1.2635e-03
7.0825191,1.1892e-03
7.1442113,1.7003e-02
7.2390113,3.4184e-03
7.2728367,8.5644e-03
7.2841778,1.2951e-02
7.3003368,1.8014e-03
7.3257284,2.3030e-03
7.3466702,4.4111e-03
7.3539624,1.1126e-03
7.3928032,7.6012e-02
7.4783192,4.4484e-03
7.4859862,2.7138e-02
7.5186958,1.1003e-03
7.5231295,2.0977e-03
7.5287070,2.0479e-02
7.5516706,1.0223e-03
7.6115260,1.3526e-03
7.6441789,1.3861e-03
7.6829658,1.5044e-03
7.6879597,1.4000e-03
7.7261653,1.2690e-03
7.7652431,1.0643e-02
7.7781439,1.5128e-03
7.8754086,1.2650e-03
7.8801565,1.5218e-01
8.0377102,1.7747e-03
8.1285801,1.7817e-02
8.1574802,9.4576e-03
8.1693449,2.4480e-02
8.2831211,2.2947e-02
8.3433294,7.6802e-03
8.3541412,9.7544e-04
8.3698330,1.9989e-03
8.4185295,1.0803e-03
8.4370794,1.6576e-03
8.4412727,4.0940e-03
8.4717751,1.1643e-03
8.4760504,1.1001e-03
8.5237331,1.3630e-03
8.5285711,1.4611e-03
8.5333929,1.9042e-03
8.5521183,3.9767e-03
8.5940447,9.7130e-04
8.5978146,2.5798e-02
8.6633320,2.1854e-03
8.6875772,1.6419e-03
8.6925373,1.0617e-03
8.7359200,1.4597e-03
8.7907000,1.3795e-03
9.3828106,1.3974e-01
9.7148533,1.6950e-03
9.8028955,2.1207e-03
9.8088226,1.1951e-03
9.9012365,1.4969e-02
9.9190769,1.8183e-03
9.9751282,1.1878e-03
9.9853983,1.0780e-03
9.9899569,1.4505e-03
10.0045586,3.2787e-02
10.0610781,8.3507e-03
10.1839504,1.6081e-03
10.2729349,4.0710e-02
10.3190384,6.7674e-02
10.3989973,1.0748e-03
10.4021921,9.5069e-04
10.4105787,1.0076e-03
10.4274864,1.6057e-03
10.4427786,1.0857e-02
10.4664526,1.6382e-03
10.4747677,8.4413e-04
10.4887381,1.9447e-03
10.4934397,5.5092e-03
10.5303221,1.3137e-03
10.5438185,7.4526e-03
10.5670977,1.6658e-03
10.6024809,8.2990e-03
10.6614113,1.8009e-03
10.7064686,1.4125e-02
10.7524490,1.3307e-03
10.7901449,9.9437e-04
10.8629780,1.4922e-03
10.9302111,2.1603e-03
10.9369040,4.9361e-03
10.9660444,1.3043e-03
11.0686512,2.4103e-03
11.0867014,2.1656e-03
11.1009951,1.2909e-03
11.1719589,1.8414e-03
11.1788177,2.2795e-02
11.2252865,3.4776e-03
11.2691422,7.0717e-03
11.3402767,8.6499e-03
11.3655319,3.3615e-02
11.5107946,1.7379e-03
11.6014042,1.2131e-03
11.6233892,3.4196e-03
11.7860413,1.1761e-02
11.8690071,5.5804e-02
12.0728149,8.1234e-02
12.2892494,2.1460e-03
12.3252125,2.1813e-03
12.3405437,7.7909e-03
12.3826122,4.6357e-02
