time,runtime
0.0018318,7.2699e-03
0.0204446,1.6899e-02
0.0683243,7.1311e-03
0.1048203,9.8992e-04
0.1212261,1.4175e-02
0.1424830,9.5011e-04
0.1914812,9.0544e-04
0.1951263,9.6833e-04
0.7343141,1.2925e-03
0.9881574,3.1297e-02
1.0224926,1.7487e-01
1.2273620,1.2023e-03
1.2322868,1.6136e-03
1.2370110,1.5877e-03
1.2463254,1.1008e-03
1.2510171,9.6127e-04
1.2696718,5.5581e-03
1.2803355,8.7023e-04
1.2950878,1.0767e-03
1.3091012,2.7346e-02
1.3702308,1.3793e-03
1.3887392,1.7210e-03
1.3949953,3.0801e-02
1.4292917,5.6402e-03
1.4970653,1.7457e-02
1.5287811,4.1551e-02
1.6141586,1.2570e-03
1.6193249,2.1351e-02
1.6704630,1.3576e-03
1.7698907,1.9837e-03
1.8498918,2.0147e-03
1.8562261,2.2665e-03
1.8673460,2.2040e-02
1.8935293,9.7270e-02
1.9949332,3.8834e-02
2.0554516,1.1482e-03
2.0603907,1.3564e-03
2.0670283,1.7816e-03
2.0749304,1.3610e-03
2.1027055,2.6881e-03
2.6561868,6.3218e-03
2.6897013,2.3581e-03
2.7080028,4.3033e-03
2.8314664,1.1963e-03
2.8394532,4.4531e-02
3.0405660,1.8042e-03
3.0461659,3.3521e-03
3.0884733,1.2742e-03
3.2777812,2.6412e-02
3.3380201,1.3043e-03
3.3427119,2.3482e-02
3.3690636,9.8605e-04
3.3739572,3.4675e-02
3.4233336,1.1562e-03
3.4283094,1.1354e-03
3.4601846,9.1665e-03
3.4907002,9.9821e-04
3.5061922,1.1799e-03
3.5102649,1.0003e-03
3.5146058,6.0899e-02
3.5969532,1.1342e-03
3.6425285,1.1696e-02
3.6714835,4.0324e-03
3.7199383,2.6552e-03
3.7249701,5.9297e-03
3.7378552,1.3231e-03
3.8081155,1.0562e-03
3.8124549,4.2025e-02
3.8574266,1.1096e-03
3.8653972,5.0192e-03
3.9170563,6.5524e-03
3.9281282,1.2364e-03
3.9434853,5.5958e-03
3.9583037,9.8842e-04
3.9776757,1.9710e-03
3.9846575,5.1284e-03
3.9933784,7.8728e-04
3.9968643,1.4780e-03
4.0249591,2.3236e-01
4.2606091,1.2168e-03
4.2649012,1.7538e-03
4.2716951,3.2252e-02
4.3065467,9.6152e-04
4.3112006,9.8175e-04
4.3777838,6.2651e-02
4.4747605,1.1397e-02
4.4892635,1.6234e-03
4.4954929,1.4130e-01
4.6398330,8.7952e-04
4.7121353,2.6060e-02
4.7426596,4.9371e-02
