time,runtime
0.0307058,8.0489e-02
0.1376360,1.0388e-03
0.1741795,1.0084e-03
0.2144807,1.8764e-03
0.2504468,2.8475e-02
0.3038567,1.7095e-03
0.3212264,1.3834e-03
0.3265175,9.6395e-04
0.3345013,2.0902e-03
0.3410754,2.4901e-03
0.4438111,2.1635e-02
0.5172179,9.1821e-04
0.5214213,7.6200e-04
0.5256715,1.0403e-03
0.5361056,7.4297e-04
0.5391474,1.8773e-02
0.5712211,1.5102e-02
0.6178410,3.5582e-02
0.6823676,1.6526e-03
0.6944721,1.3217e-03
0.6986227,1.3973e-03
0.7274421,1.1394e-03
0.7502441,2.7840e-02
0.7843832,1.4592e-03
0.8003670,9.4027e-03
0.8140453,9.8322e-04
0.8190841,2.5921e-03
1.1757206,2.5609e-03
1.2373381,8.3375e-02
1.3350171,7.6491e-04
1.3707298,1.0664e-03
1.5121604,1.1396e-03
1.5168993,1.1118e-02
1.5459696,6.7195e-04
1.5540121,1.0829e-03
1.6339386,8.2189e-04
1.6546124,1.3611e-03
1.6607343,9.2948e-03
1.6739179,7.9963e-04
1.6776634,7.3017e-04
1.6843600,7.8266e-04
1.7027885,7.8688e-02
1.8226852,1.7166e-02
1.8463646,3.1197e-02
1.8803535,1.2765e-03
1.9166460,5.8277e-03
1.9359839,4.3942e-02
1.9957033,9.2989e-04
2.0731235,4.4818e-02
2.1507239,1.3466e-03
2.2226174,8.3303e-04
2.2666552,8.2046e-03
2.3176315,9.4812e-04
2.3419645,3.7456e-02
2.3833230,6.3646e-02
2.5263989,8.7145e-03
2.5390100,5.8255e-03
2.5674238,2.3562e-02
5.4740105,1.6015e-01
5.6453562,2.1423e-03
5.6614947,3.3329e-02
5.8303270,8.3476e-02
5.9878788,1.0336e-03
6.0058146,1.2241e-03
6.4321713,3.2678e-02
6.4914212,1.8362e-02
6.5542293,2.2679e-02
6.5875759,1.9301e-03
6.5922990,1.8315e-02
6.6265030,1.0545e-02
6.7004480,2.9977e-02
6.7489266,2.8687e-02
