time,runtime
0.0082830,2.1296e-02
0.0786534,7.3086e-04
0.1341462,7.8957e-04
0.2140492,5.7058e-04
0.2660181,7.2074e-04
0.2792518,7.0888e-04
0.3927456,7.3231e-04
0.4551681,6.9894e-04
0.5158093,6.6523e-04
0.6009513,7.7148e-04
0.6614498,7.0392e-04
0.7467651,1.6412e-03
0.8156142,3.4835e-03
0.8808692,7.0229e-04
0.9566591,5.5474e-03
1.0264357,6.5091e-04
1.0718009,7.4187e-04
1.1345110,5.1083e-03
1.2063243,2.3087e-03
1.2926378,6.7221e-04
1.3499733,6.2866e-04
1.4158254,6.7971e-04
1.5526277,6.8716e-04
1.6595974,2.9248e-03
1.7288711,7.6803e-04
1.8402508,6.4795e-04
1.9233317,7.3422e-04
2.0173609,7.2837e-04
2.0703967,6.7623e-04
2.1173558,5.2632e-03
2.3181562,8.9291e-04
2.4255557,7.9431e-04
2.5049491,8.1790e-04
2.5705543,9.1150e-04
2.6214616,7.4127e-04
2.7119756,3.0116e-03
2.8140218,8.4410e-04
2.8970251,6.3285e-04
3.0154781,5.9983e-04
3.0199947,1.1259e-03
3.0717559,6.9276e-04
3.1053793,6.4186e-04
3.1595671,7.1657e-04
3.2783518,5.5223e-04
3.3925412,7.5255e-04
3.4447527,7.4443e-04
3.4530320,7.4500e-04
3.4598715,7.3435e-04
3.4758313,1.5258e-02
3.5235822,7.5854e-04
3.5263236,7.2547e-04
3.5322027,2.7027e-03
3.5756381,1.4737e-02
3.5983150,5.8020e-03
3.6331959,8.6924e-04
3.6494267,8.4100e-04
3.6643481,9.6199e-04
3.6756010,8.0453e-04
3.6926425,6.4318e-04
3.6947696,7.6849e-04
3.6969309,7.2150e-04
3.7033327,7.0749e-04
3.7056439,8.0496e-04
3.7082703,7.8832e-04
3.7105734,7.1576e-04
3.7183421,9.3644e-04
3.7287755,6.0524e-04
3.7310324,8.3678e-04
3.7332489,2.3076e-03
3.7368119,5.8719e-04
3.7599669,7.1596e-04
3.8088667,7.8230e-04
3.8111870,6.6871e-04
3.8348851,1.3504e-03
3.8670721,9.2264e-04
3.9058883,2.9547e-03
3.9780669,8.6169e-04
3.9834380,7.4498e-04
4.0163493,6.9343e-04
4.0369382,6.5313e-04
4.0546937,1.6549e-03
4.0580897,6.8167e-04
4.0602727,7.2186e-04
4.0799994,7.1760e-04
4.0897927,9.4251e-04
4.1055555,8.4745e-04
4.1371899,6.6660e-04
4.1576519,7.2783e-04
4.1748567,8.8358e-04
4.1994319,7.2676e-04
4.2025476,7.7530e-04
4.2047243,7.1072e-04
4.2781682,7.6544e-04
4.2806325,6.3619e-04
4.2828808,6.3790e-04
4.2863092,6.9785e-04
4.2885118,7.6951e-04
4.2907529,6.3402e-04
4.3026404,2.1290e-02
4.3436899,7.5856e-04
4.3587317,1.3129e-03
4.3787370,7.0140e-04
4.4026632,6.8839e-04
4.4431443,7.5215e-04
4.4461498,8.0733e-04
4.4895606,5.6266e-04
4.4914169,7.2593e-04
4.5541415,7.5853e-04
4.5560713,7.4119e-04
4.5704608,4.0425e-03
4.5756807,1.3485e-03
4.5783877,8.0191e-04
4.5804925,1.2660e-03
4.5830994,1.3054e-03
4.5854917,7.8550e-04
4.5874882,6.4645e-04
4.5967579,6.6003e-04
4.5986652,7.5082e-04
4.6006069,7.2062e-04
4.6024961,6.9331e-04
4.6044998,6.8033e-04
4.6063280,8.2852e-04
4.6086926,6.5366e-04
4.6237254,6.3681e-04
4.6526227,6.4189e-04
4.6834641,7.4968e-04
4.6856699,6.8672e-04
4.7057872,6.9118e-04
4.7077904,9.2128e-04
4.7099543,7.5858e-04
4.7626314,5.6335e-04
4.7642946,6.3541e-04
4.7660289,7.5170e-04
4.7680702,7.1791e-04
4.7699046,4.8160e-02
4.8348975,8.3775e-04
4.8455544,9.8614e-04
4.8575835,9.8169e-04
4.8742523,1.2194e-02
4.8881674,7.2058e-04
4.8899822,6.2778e-04
4.8920245,6.3095e-04
4.8968349,8.6098e-04
4.8999820,7.6717e-04
4.9020739,9.3349e-04
4.9044290,6.7651e-04
4.9063158,6.8441e-04
4.9449096,7.1732e-04
4.9955711,9.6744e-04
5.0096016,3.2834e-03
5.0141907,7.8767e-04
5.0162783,6.4684e-04
5.0341349,5.8414e-04
5.0489826,7.8730e-04
5.0722618,6.9284e-04
5.0846553,7.1043e-04
5.1036124,8.6848e-04
5.1059389,2.6338e-03
5.1312208,7.3015e-04
5.1539512,8.4702e-04
5.1706395,1.0833e-03
5.1850615,7.4740e-04
5.2029252,6.4253e-04
5.2171569,8.5749e-04
5.2535558,8.5152e-04
5.2718482,6.7087e-04
5.3087435,6.2483e-04
5.3294086,9.0735e-04
5.3447385,7.0791e-04
5.4001265,2.6779e-02
5.4407187,2.6972e-03
5.4575772,7.0794e-04
5.5175409,7.0326e-04
5.5467463,8.3164e-04
5.5678005,8.5421e-04
5.5859523,6.5717e-04
5.5985880,7.0662e-04
5.6180372,6.0895e-04
5.6738372,7.7305e-04
5.7019482,7.6421e-04
5.7684240,7.8008e-04
5.7822003,7.2030e-04
5.8000321,6.7132e-04
5.8151169,6.5125e-04
5.8291621,8.3969e-04
5.8487582,6.8591e-04
5.8671188,9.3354e-04
5.8692822,6.9161e-04
5.8816938,9.0204e-04
5.9004116,8.1132e-04
5.9087553,6.9433e-04
5.9347801,6.6336e-04
5.9512672,7.9712e-04
5.9532285,7.0034e-04
5.9613581,7.9188e-04
5.9634767,6.7321e-04
5.9889474,7.3209e-04
6.0121102,7.7538e-04
6.0285320,7.7952e-04
6.0453348,6.8911e-04
6.0649576,6.7290e-04
6.0668025,6.4660e-04
6.0794592,6.8108e-04
6.1000080,6.8220e-04
6.1181130,7.7322e-04
6.1394262,7.2115e-04
6.1664128,6.7510e-04
6.1964927,8.7669e-04
6.2104487,6.8111e-04
6.2238178,2.0429e-03
6.2491021,1.8487e-03
6.2671933,8.3983e-04
6.2972631,8.2230e-04
6.3141208,7.3726e-04
6.3682179,7.3532e-04
6.5116906,6.3326e-04
6.5538211,6.7366e-04
6.5556221,7.0980e-04
6.5575800,6.4246e-04
6.5685310,6.4550e-04
6.5702229,6.8158e-04
6.5845256,7.8083e-04
6.6001625,7.5939e-04
6.6119304,6.9977e-04
6.6186275,7.3084e-04
6.6341529,8.4557e-04
6.6458669,8.2344e-04
6.6602187,6.6240e-04
6.6740050,7.3953e-04
6.6758976,6.3267e-04
6.7142396,8.0466e-04
6.7327209,7.3058e-04
6.7346020,6.7246e-04
6.7577519,7.5981e-04
6.7723246,1.0989e-03
6.7784662,8.3634e-04
6.8117905,6.8410e-04
6.8282800,7.6164e-04
6.8866425,7.2349e-04
6.9089003,7.4136e-04
6.9547324,7.4410e-04
6.9884605,6.5831e-04
6.9903688,7.6793e-04
6.9923644,9.4181e-04
7.0085216,2.1015e-03
7.0177612,9.7672e-04
7.0200019,6.7781e-04
7.0358396,8.0112e-04
7.0469623,2.5626e-03
7.0661578,6.5250e-04
7.0684538,9.4486e-04
7.0706558,8.0062e-04
7.0728536,7.1535e-04
7.0747204,7.2016e-04
