time,runtime
0.0012754,8.3811e-02
0.0868072,2.4119e-01
0.3297887,1.8568e-02
0.3498072,1.6530e-02
0.3677583,1.0093e-02
0.3792288,1.5580e-02
0.3961682,1.8342e-02
0.4158402,1.3624e-02
0.4305786,1.5315e-02
0.4471545,8.7279e-04
0.4495271,6.0546e-04
0.4514923,1.3388e-02
0.4665553,7.3804e-03
0.4753617,3.2527e-02
0.5091526,4.3683e-03
0.5146298,6.7805e-04
0.5164415,8.7344e-03
0.5265199,5.7882e-03
0.5337727,5.4087e-02
0.5890115,3.6196e-02
0.6267070,2.6867e-02
0.6549471,1.1658e-02
0.6678961,1.0756e-02
0.6799876,8.6289e-04
0.6821539,6.2596e-04
0.6841184,3.9783e-02
0.7250937,3.3393e-02
0.7597628,9.9693e-04
0.7620944,5.7535e-03
0.7690888,6.3399e-04
0.7708712,9.3059e-04
0.7730187,2.7950e-02
0.8023011,2.9831e-02
0.8332676,2.4262e-02
0.8589836,6.9487e-04
0.8610685,6.8363e-04
0.8629125,6.8772e-04
0.8649315,5.6716e-04
0.8667985,5.7776e-04
0.8686236,1.4567e-02
0.8850880,5.5194e-04
0.8870107,1.2947e-02
0.9011448,9.0111e-02
0.9924338,1.2037e-02
1.0060351,1.0695e-03
1.0083544,1.3443e-02
1.0232259,7.0664e-04
1.0251234,9.1677e-02
1.1182175,6.4896e-04
1.1201669,5.9157e-02
1.1808058,5.5186e-04
1.1825733,8.4468e-04
1.1848754,6.2967e-04
1.1868408,1.6668e-02
1.2048330,6.8596e-04
1.2067887,7.2271e-04
1.2087729,4.1119e-03
1.2141538,2.9829e-02
1.2453082,1.1321e-02
1.2586408,6.9658e-04
1.2611941,3.5307e-02
1.2979710,2.1447e-02
1.3213000,6.9663e-04
1.3232632,9.9262e-03
1.3344302,4.8196e-02
1.3842607,1.2785e-02
1.3983210,7.7287e-04
1.4003080,1.6452e-02
1.4183666,1.0721e-02
1.4309285,6.9403e-02
1.5016626,1.2985e-02
1.5158489,4.2819e-02
1.5601739,6.1325e-04
1.5619532,8.4641e-02
1.6478876,3.2402e-02
1.6815003,1.5151e-02
1.6982554,1.9869e-02
1.7194625,1.3647e-02
1.7346011,8.4113e-03
1.7446177,2.1474e-02
1.7673033,1.1258e-02
1.7798634,1.7036e-02
1.7980394,1.3339e-02
1.8127664,1.3683e-02
1.8278207,1.4969e-02
1.8470670,6.1960e-04
1.8490887,4.1024e-02
1.8913560,3.4504e-02
1.9272567,4.2634e-03
1.9352660,1.4972e-02
1.9514443,3.3489e-02
1.9862295,1.1110e-02
1.9985447,1.1087e-02
2.0108154,1.1681e-02
2.0237610,7.6415e-03
2.0327253,9.5361e-03
2.0436289,1.2623e-02
2.0576174,8.4916e-03
2.0676053,7.3749e-04
2.0694835,3.0436e-02
2.1012647,2.6479e-02
2.1289895,1.5086e-02
2.1453674,1.3166e-02
2.1599691,1.6852e-02
2.1782117,3.2254e-02
2.2118313,1.1188e-02
2.2242906,1.4921e-02
2.2406614,1.1940e-03
2.2433522,2.5332e-02
2.2700586,1.6081e-02
2.2875955,2.4589e-02
2.3136969,1.9436e-02
2.3399911,1.2198e-02
2.3667891,1.0354e-02
2.3789809,3.6192e-02
2.4165139,1.1388e-02
2.4292622,1.3636e-02
2.4442658,1.8661e-02
2.4642591,2.6062e-02
2.4917293,3.0709e-02
2.5238369,5.8461e-03
2.5309002,6.0020e-04
2.5326345,6.2343e-04
2.5344687,2.1638e-02
2.5573745,2.7717e-02
2.5862989,1.8131e-03
2.5892754,1.2811e-02
2.6034389,7.1026e-03
2.6117699,1.3314e-02
2.6263592,7.8279e-03
2.6356380,9.6588e-03
2.6466353,6.6766e-03
2.6544876,3.3680e-02
2.6896198,6.6162e-04
2.6917095,1.9330e-02
2.7123644,1.3643e-02
2.7271035,9.0784e-03
2.7514827,1.5415e-03
2.7557001,2.1582e-02
2.7784550,1.5049e-02
2.7948892,1.6970e-02
2.8138261,4.6074e-02
2.8612499,1.6482e-02
2.8793595,1.6854e-02
2.8977418,1.1489e-02
2.9105501,3.1016e-02
2.9429462,1.4098e-02
2.9582272,1.5235e-02
2.9752090,7.0683e-04
2.9772561,5.6663e-03
2.9842365,3.7722e-02
3.0233684,2.6232e-02
3.0508459,7.1674e-04
3.0529785,1.2929e-02
3.0671861,1.5780e-02
3.0843077,4.3535e-03
3.0899267,9.2598e-03
3.1003840,3.0768e-02
3.1324582,6.2050e-04
3.1344080,3.1642e-02
3.1673455,3.8679e-02
3.2076552,9.8277e-03
3.2189217,4.9491e-02
3.2700784,5.4814e-02
3.3273914,1.3730e-02
3.3435924,1.3388e-02
3.3583629,8.8452e-03
3.3685460,5.9089e-03
3.3759387,1.9580e-02
3.3968263,1.6961e-02
3.4158847,3.6506e-02
3.4536889,1.2717e-02
3.4683113,2.4909e-02
3.4945552,2.1842e-02
3.5275917,2.7570e-02
3.5565486,3.5923e-02
3.5937858,5.8396e-03
3.6008582,3.0594e-02
3.6329789,5.8951e-03
3.6401753,1.5261e-02
3.6564817,2.4897e-02
3.6826761,1.3739e-02
3.6975205,1.7473e-02
3.7161291,3.0779e-02
3.7482228,5.6048e-04
3.7499871,1.3247e-02
3.7646542,5.7310e-04
3.7665329,1.7428e-02
3.7852087,1.5657e-02
3.8021507,5.8522e-04
3.8039815,1.9567e-02
3.8249047,8.3678e-04
3.8272157,3.2703e-02
3.8640082,6.0887e-04
3.8659418,1.2184e-02
3.8796983,6.8212e-04
3.8869038,1.3842e-02
3.9019725,5.7078e-02
3.9605455,7.1328e-02
4.0335374,5.1641e-02
4.0865488,4.6828e-03
4.0981212,2.1383e-02
4.1275883,7.5981e-04
4.1301665,6.3278e-04
4.1323290,1.8054e-03
4.1356773,1.7971e-02
4.1550627,1.5752e-02
4.1719956,6.3483e-04
4.1738219,5.3754e-04
4.1755085,9.9312e-03
4.1869335,1.3051e-02
4.2011929,5.8078e-04
4.2030649,3.7418e-02
4.2462564,4.3467e-02
4.2910671,1.4010e-02
4.3065205,2.7262e-02
4.3350134,7.2327e-04
4.3372936,1.4905e-02
4.3533068,1.1751e-02
4.3663979,7.6630e-04
4.3704424,3.8492e-03
4.3759131,6.3880e-04
4.3781352,6.2707e-04
4.3798571,6.5474e-04
4.3817773,7.1299e-04
4.3838053,3.0601e-02
4.4156594,1.6643e-02
4.4407401,8.1948e-03
4.4560375,6.0241e-03
4.4633522,2.2394e-02
4.4873338,4.5510e-02
4.5342221,3.9906e-02
4.5754862,8.4323e-04
4.5779099,6.6199e-04
4.5800958,6.5843e-04
4.5823479,2.4303e-02
4.6078720,6.0166e-03
4.6154342,2.2168e-02
4.6406255,8.4880e-03
4.6505141,6.4229e-04
4.6526318,2.8759e-02
4.6827073,7.0068e-04
4.6881371,6.6739e-04
4.6900611,7.3219e-04
4.6921048,2.4561e-02
4.7181668,7.9313e-04
4.7206669,3.8055e-02
4.7599335,1.1679e-02
4.7730546,1.2304e-02
4.7866535,6.4778e-04
4.7885661,1.3710e-02
4.8036489,7.0523e-04
4.8056979,1.9914e-02
4.8270435,1.4948e-02
4.8434057,1.4164e-02
4.8588243,5.6856e-02
4.9170346,1.4246e-02
4.9325118,1.2496e-02
4.9464355,6.8354e-04
4.9483671,7.1898e-04
4.9502134,6.6991e-04
4.9519811,5.5692e-04
4.9537468,6.3184e-04
4.9556251,1.0124e-02
4.9817343,1.1816e-02
4.9948187,7.2635e-04
4.9969254,6.6764e-04
5.0178490,1.1760e-03
5.0223017,6.7668e-04
5.0245342,1.5840e-02
5.0423222,7.0709e-04
5.0502048,1.7613e-03
5.0532117,7.9745e-02
5.1346626,8.2679e-02
5.2186446,1.3800e-02
5.2339473,7.2258e-04
5.2359486,5.7276e-04
5.2377501,7.3944e-04
5.2396574,5.9303e-04
5.2417307,6.7439e-04
5.2437506,5.2839e-03
5.2506185,5.7196e-04
5.2524643,5.6430e-04
5.2546635,2.9228e-02
5.2852592,2.4753e-02
5.3112869,4.0290e-02
5.3529410,8.9336e-03
5.3676462,7.3348e-04
5.3701854,3.0852e-02
5.4025512,7.5806e-04
5.4046407,7.5641e-04
5.4069009,6.1868e-04
5.4087420,2.7857e-02
5.4377155,2.8673e-02
5.4675331,5.5275e-04
5.4692411,1.6327e-02
5.4918871,6.8379e-04
5.4943304,7.1775e-04
5.4962368,3.6286e-03
5.5016170,1.4500e-02
5.5173182,6.9549e-04
5.5195570,8.2596e-04
5.5217524,8.0041e-04
5.5238662,7.0303e-04
5.5257668,6.8189e-04
5.5295968,7.4731e-03
5.5465035,8.1619e-04
5.5485039,7.7181e-04
5.5508609,6.6434e-04
5.5526848,6.4782e-04
5.5544548,3.7818e-02
5.5944519,8.2092e-04
5.5965810,2.0789e-02
5.6187668,6.0140e-04
5.6204886,5.9189e-04
5.6222053,6.8437e-04
5.6240292,6.0809e-04
5.6258864,1.5501e-02
5.6425762,6.4894e-04
5.6444311,8.3104e-04
5.6469193,5.2281e-04
5.6485977,6.5720e-04
5.6505456,1.8919e-02
5.6708584,1.6655e-02
5.6887846,5.8881e-04
5.6907640,6.3470e-04
5.6928663,6.7174e-04
5.6949453,1.3873e-02
5.7101693,6.5080e-04
5.7123375,6.5679e-02
5.7793245,2.6975e-02
5.8075352,1.3622e-02
5.8222752,3.2654e-02
5.8562293,4.8726e-02
5.9064898,1.9169e-02
5.9269738,2.9213e-02
5.9581785,1.1102e-02
5.9803119,4.2267e-02
6.0245395,2.4251e-02
6.0499988,5.5003e-03
6.0567513,6.3211e-03
6.0642924,7.3444e-02
6.1389198,1.8636e-02
6.1587210,7.4709e-04
6.1606355,1.8252e-02
6.1801457,9.9773e-03
6.1914997,7.9153e-04
6.1935296,6.9741e-04
6.1965671,4.7348e-02
6.2452140,2.6785e-02
6.2732921,3.2696e-02
6.3074031,1.0987e-02
6.3197689,7.7095e-03
6.3287549,6.7520e-03
6.3368769,5.6782e-02
6.3949966,5.2934e-02
6.4493308,6.8226e-04
6.4515805,6.5276e-04
6.4534292,1.5088e-02
6.4697800,1.6716e-02
6.4878945,8.3042e-03
6.4974508,1.5036e-02
6.5135803,3.6336e-02
6.5514507,6.9003e-04
6.5533881,1.6763e-02
6.5718312,1.8756e-02
6.5917253,6.4547e-04
6.5936122,5.9607e-04
6.5954881,2.3154e-02
6.6231494,6.9815e-04
6.6250238,5.4775e-04
6.6266966,6.4821e-04
6.6287665,7.2673e-04
6.6307926,7.8199e-03
6.6399446,1.2906e-02
6.6542349,8.3019e-03
6.6641164,6.1217e-04
6.6658978,6.8293e-04
6.6680703,1.2745e-02
6.6819396,1.4731e-02
6.6980066,1.2649e-02
6.7120304,6.0287e-04
6.7136450,1.0038e-02
6.7251234,1.4373e-02
6.7406654,1.8489e-02
6.7603707,3.9945e-02
6.8014522,3.2645e-02
6.8353329,6.7665e-04
6.8373251,6.7159e-04
6.8392653,9.9855e-03
6.8506045,7.2596e-04
6.8527141,8.4438e-03
6.8626485,6.2157e-04
6.8644123,6.5626e-04
6.8662982,2.4763e-02
6.8924427,2.4926e-02
6.9186568,8.9839e-03
6.9306998,3.9823e-02
6.9839816,9.9113e-03
6.9952278,1.3393e-02
7.0099277,3.2362e-02
7.0435867,5.7818e-04
7.0454016,1.1804e-02
7.0590911,8.2206e-04
7.0615902,1.5555e-02
7.0855241,9.3464e-02
7.1802969,6.6295e-02
7.2484770,5.1436e-03
7.2549477,2.0187e-02
7.2763405,1.4236e-02
7.2924509,5.9916e-02
7.3537621,5.5284e-04
7.3555760,3.8666e-03
7.3607931,6.0267e-04
7.3625369,5.8426e-02
7.4222960,7.1230e-04
7.4242549,7.0765e-04
7.4261470,6.0390e-04
7.4281931,1.6766e-02
7.4461908,7.2343e-04
7.4482174,6.0555e-04
7.4501367,4.1721e-02
7.4932308,1.2567e-02
7.5071635,1.5295e-02
7.5237675,9.0824e-04
7.5258474,1.4357e-02
7.5414629,1.0503e-02
7.5533590,3.1817e-02
7.5868144,6.1761e-03
7.5945439,2.3561e-02
7.6193666,1.8918e-02
7.6429763,4.4789e-02
7.6893582,7.5957e-04
7.6923194,1.1948e-02
7.7057629,5.3658e-02
7.7607017,7.7378e-04
7.7628932,2.8582e-03
7.7672806,8.5411e-04
7.7694845,6.1548e-04
7.7716274,4.2277e-03
7.7771010,1.6867e-02
7.7958889,8.5784e-04
7.7980804,8.6387e-04
